flight_id,origin,destination,depart_date,base_fare,seats_remaining,capacity,demand_index,season
PA1000,YYZ,YUL,2026-11-18,119.0,0,189,0.831,fall
PA1001,YYZ,JFK,2026-12-02,229.0,1,78,1.323,winter
PA1002,YYZ,ORD,2026-09-22,199.0,73,189,1.096,fall
PA1003,YYZ,YVR,2027-01-11,349.0,50,78,1.01,winter
PA1004,YYZ,LAX,2027-01-01,389.0,107,189,1.122,winter
PA1005,YYZ,MIA,2027-01-12,299.0,83,137,1.027,winter
PA1006,YYZ,CUN,2026-12-12,329.0,44,78,0.935,winter
PA1007,YYZ,LHR,2027-01-10,649.0,41,78,1.18,winter
PA1008,YYZ,YUL,2027-04-04,119.0,52,78,0.88,spring
PA1009,YYZ,JFK,2027-02-04,229.0,104,189,1.33,winter
PA1010,YYZ,ORD,2026-11-24,199.0,99,189,1.136,fall
PA1011,YYZ,YVR,2027-02-19,349.0,103,189,1.012,winter
PA1012,YYZ,LAX,2027-07-14,389.0,89,137,1.053,summer
PA1013,YYZ,MIA,2027-01-16,299.0,105,189,1.101,winter
PA1014,YYZ,CUN,2026-11-12,329.0,33,78,0.946,fall
PA1015,YYZ,LHR,2026-12-14,649.0,85,137,1.165,winter
PA1016,YYZ,YUL,2027-09-16,119.0,73,137,0.863,fall
PA1017,YYZ,JFK,2027-08-13,229.0,123,189,1.33,summer
PA1018,YYZ,ORD,2027-05-16,199.0,48,78,1.206,spring
PA1019,YYZ,YVR,2027-09-09,349.0,112,189,1.018,fall
PA1020,YYZ,LAX,2027-01-17,389.0,43,78,1.134,winter
PA1021,YYZ,MIA,2027-02-06,299.0,92,137,1.093,winter
PA1022,YYZ,CUN,2027-03-02,329.0,122,189,0.95,spring
PA1023,YYZ,LHR,2027-05-14,649.0,124,189,1.157,spring
PA1024,YYZ,YUL,2027-07-06,119.0,112,189,0.871,summer
PA1025,YYZ,JFK,2027-07-17,229.0,84,137,1.264,summer
PA1026,YYZ,ORD,2027-06-09,199.0,47,78,1.179,summer
